Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
605000,0.7085597,1.999976e-05,3.6742966,0.116449095,0.033022773,65.2013596793356,65.20135967355526,1689.945205479452
610000,0.6693289,1.9999758e-05,3.5176108,0.14585227,0.033016082,56.97523032271977,56.975230354327586,1493.8191489361702
615000,0.72188896,1.9999758e-05,3.5390704,0.13860598,0.034957442,51.89581747716054,51.895817519134695,1408.6538461538462
620000,0.7563016,1.9999752e-05,3.68135,0.10835231,0.03342482,77.32084668983589,77.32084676487074,2100.203125
625000,0.74523175,1.9999748e-05,3.526773,0.087721206,0.03395311,82.36357677385344,82.36357686817918,2248.1964285714284
630000,0.7197305,1.9999745e-05,3.3989034,0.10171151,0.03399879,63.03200802482562,63.03200808351746,1793.2191780821918
635000,0.721611,1.9999745e-05,3.6086857,0.09880463,0.035436388,73.03867076899041,73.03867084190382,1982.109375
640000,0.6784968,1.9999745e-05,3.555433,0.10772782,0.032957345,74.3951993091522,74.39519933982665,2019.0263157894738
645000,0.7322365,1.9999743e-05,3.5297725,0.1050976,0.033159435,54.2288977317512,54.22889770729395,1440.2941176470588
650000,0.7561803,1.9999743e-05,3.2697625,0.07848818,0.033166464,90.85321796913536,90.85321798618193,2604.9795918367345
655000,0.77153885,1.999974e-05,3.1794374,0.08209669,0.03423691,93.35657533715394,93.35657558575218,2780.0
660000,0.797186,1.9999736e-05,3.0354378,0.07853422,0.03432445,76.19049710154533,76.19049733598463,2443.38
665000,0.72005,1.9999734e-05,3.0702133,0.10121406,0.034416676,70.5390362133334,70.53903625120685,2296.4
670000,0.67430735,1.999973e-05,2.9501023,0.13356334,0.034999087,55.08247255069307,55.082472620386426,1515.2333333333333
675000,0.65395397,1.999973e-05,3.3671243,0.121148124,0.03535274,38.42320859993187,38.4232086006306,1352.9333333333334
680000,0.65883756,1.9999728e-05,3.369614,0.13158476,0.032197338,56.00087011423672,56.00087010297796,1502.702380952381
685000,0.6885596,1.9999728e-05,3.5432427,0.11295193,0.034727093,70.39069331465289,70.39069336542984,1899.5
690000,0.66525215,1.9999725e-05,3.5843678,0.1164468,0.034203075,70.22903210639862,70.2290322213404,1952.8024691358025
695000,0.64271975,1.9999721e-05,3.6244652,0.1266843,0.033406887,51.85610726768131,51.85610728869828,1375.505376344086
700000,0.596972,1.999972e-05,3.4466043,0.15515286,0.034872014,43.23090062859027,43.23090070621504,1135.1052631578948
705000,0.66178685,1.9999716e-05,3.4741266,0.13066517,0.03496688,43.1082060272744,43.10820609376872,1225.5164835164835
710000,0.61292976,1.9999716e-05,3.3901575,0.15069441,0.0344731,47.82448552104844,47.82448556699194,1273.5
715000,0.60607743,1.9999714e-05,3.1001468,0.16021116,0.032536197,40.727660347616265,40.727660432400164,1175.5098039215686
720000,0.64418066,1.9999712e-05,3.280083,0.14260909,0.033891574,46.484878126126915,46.484878052441275,1404.6304347826087
725000,0.66230184,1.999971e-05,3.4025834,0.12423017,0.034103554,62.80362728304793,62.80362740978493,1789.2469135802469
730000,0.55502254,1.999971e-05,2.9748569,0.16065398,0.034578126,43.166321587276,43.166321626545596,1125.3307692307692
735000,0.6044601,1.9999703e-05,2.859731,0.15800115,0.033770747,23.570812326431792,23.570812341312273,955.3465346534654
740000,0.60374826,1.9999701e-05,3.3174007,0.15243621,0.033472363,46.259235385037265,46.25923534706541,1503.5773195876288
745000,0.65181077,1.9999701e-05,3.3462565,0.13068669,0.03560873,51.74267369771779,51.7426736848849,1422.8513513513512
750000,0.62537587,1.9999701e-05,3.360223,0.13723435,0.036113318,48.109326026003274,48.10932603634777,1395.438775510204
